produto,categoria,vendedor,classificacao,qtd_vendas,avaliacao,preco_original,preco_final,imagem,link,data_coleta
"Notebook Positivo Duo 2 Em 1 Intel Celeron C4128b-3 4gb 128gb 11,6 Ips Hd Windows 11",computador,Não Informado,11,10,4.5,1649.0,1399.0,https://http2.mlstatic.com/D_Q_NP_2X_885078-MLA99563569744_122025-E.webp,https://www.mercadolivre.com.br/notebook-positivo-duo-2-em-1-intel-celeron-c4128b-3-4gb-128gb-116-ips-hd-windows-11/p/MLB24506668#polycard_client=search_best-seller&tracking_id=58005052-cf6a-438b-868f-4c5f216e8558&wid=MLB3831851660&sid=search,2026-01-13
Notebook Lenovo Ideapad 1 15amn7 Amd Ryzen 3 7320u 8gb 256gb Ssd Windows 11 15.6 - 82x5000mbr Cloud Grey,computador,Não Informado,12,1000,4.9,2549.0,2429.0,https://http2.mlstatic.com/D_Q_NP_2X_864412-MLA99464968390_112025-E.webp,https://www.mercadolivre.com.br/notebook-lenovo-ideapad-1-15amn7-amd-ryzen-3-7320u-8gb-256gb-ssd-windows-11-156-82x5000mbr-cloud-grey/p/MLB52907392#polycard_client=search_best-seller&tracking_id=58005052-cf6a-438b-868f-4c5f216e8558&wid=MLB4129286535&sid=search,2026-01-13
Notebook Dell Latitude 3410 Core I5 Décima Geração 16gb Ram 240gb Ssd Cor Cinza - Excelente (Recondicionado),computador,Não Informado,13,100,4.7,,2399.0,https://http2.mlstatic.com/D_Q_NP_2X_924986-MLA97658102038_112025-E.webp,https://www.mercadolivre.com.br/notebook-dell-latitude-3410-core-i5-decima-geraco-16gb-ram-240gb-ssd-cor-cinza-excelente-recondicionado/p/MLB2010702249#polycard_client=search_best-seller&tracking_id=58005052-cf6a-438b-868f-4c5f216e8558&wid=MLB5840114988&sid=search,2026-01-13
Macbook Air De 13 Polegadas Chip Ssd M4 De 256 Gb Cor Prata,computador,Não Informado,14,100,5.0,,7999.0,https://http2.mlstatic.com/D_Q_NP_2X_738640-MLA96150594551_102025-E.webp,https://www.mercadolivre.com.br/macbook-air-de-13-polegadas-chip-ssd-m4-de-256-gb-cor-prata/p/MLB47733966#polycard_client=search_best-seller&tracking_id=58005052-cf6a-438b-868f-4c5f216e8558&wid=MLB4097695889&sid=search,2026-01-13
Notebook Samsung Galaxy Book4 Windows 11 Home Intel Core I3 8gb 256gb Ssd 15.6'' Full Hd Led 1.55 Kg Grafite,computador,Não Informado,15,10,4.9,,3499.0,https://http2.mlstatic.com/D_Q_NP_2X_994631-MLA99592093086_122025-E.webp,https://www.mercadolivre.com.br/notebook-samsung-galaxy-book4-windows-11-home-intel-core-i3-8gb-256gb-ssd-156-full-hd-led-155-kg-grafite/p/MLB37044201#polycard_client=search_best-seller&tracking_id=58005052-cf6a-438b-868f-4c5f216e8558&wid=MLB4398491223&sid=search,2026-01-13
Notebook Lenovo Ideapad 1i Intel Core I5 12gb Ram 512gb Ssd Linux Tela 14 Hd 83afs00700,computador,Não Informado,16,100,4.8,,3599.0,https://http2.mlstatic.com/D_Q_NP_2X_871997-MLA100082866595_122025-E.webp,https://www.mercadolivre.com.br/notebook-lenovo-ideapad-1i-intel-core-i5-12gb-ram-512gb-ssd-linux-tela-14-hd-83afs00700/p/MLB35960181#polycard_client=search_best-seller&tracking_id=58005052-cf6a-438b-868f-4c5f216e8558&wid=MLB4179560783&sid=search,2026-01-13
Notebook Lenovo Ideapad 1i Intel Core I7-1255u 16gb 512gb Ssd Windows 11 Home 15.6 82vy000nbr,computador,Não Informado,17,1000,4.8,,4799.0,https://http2.mlstatic.com/D_Q_NP_2X_671764-MLA99513244224_112025-E.webp,https://www.mercadolivre.com.br/notebook-lenovo-ideapad-1i-intel-core-i7-1255u-16gb-512gb-ssd-windows-11-home-156-82vy000nbr/p/MLB29017571#polycard_client=search_best-seller&tracking_id=58005052-cf6a-438b-868f-4c5f216e8558&wid=MLB5425909832&sid=search,2026-01-13
Notebook Vaio Fe16 Amd Ryzen 5-5625u Windows 11 Home 16gb Ram 512gb Ssd Wi-fi 6 Tela 16 Ips Full Hd Wuxga Cinza Grafite,computador,Não Informado,18,1000,4.9,4099.0,3343.0,https://http2.mlstatic.com/D_Q_NP_2X_868415-MLA99986132939_112025-E.webp,https://www.mercadolivre.com.br/notebook-vaio-fe16-amd-ryzen-5-5625u-windows-11-home-16gb-ram-512gb-ssd-wi-fi-6-tela-16-ips-full-hd-wuxga-cinza-grafite/p/MLB45513180#polycard_client=search_best-seller&tracking_id=58005052-cf6a-438b-868f-4c5f216e8558&wid=MLB5533466234&sid=search,2026-01-13
"Notebook Asus X515ka Intel Celeron Dual Core N4500 4gb Ram 128gb Ssd Windows 11 Home Tela 15,6 Led Cinza - Br329ws",computador,Não Informado,19,100,4.8,2099.0,1699.0,https://http2.mlstatic.com/D_Q_NP_2X_791749-MLA99490233316_112025-E.webp,https://www.mercadolivre.com.br/notebook-asus-x515ka-intel-celeron-dual-core-n4500-4gb-ram-128gb-ssd-windows-11-home-tela-156-led-cinza-br329ws/p/MLB50528660#polycard_client=search_best-seller&tracking_id=58005052-cf6a-438b-868f-4c5f216e8558&wid=MLB5724275698&sid=search,2026-01-13
Notebook Lenovo Ideapad Slim 3 Amd Ryzen 7 16gb 512gb W11 Luna Grey,computador,Não Informado,20,500,4.9,4699.0,3999.0,https://http2.mlstatic.com/D_Q_NP_2X_632185-MLA99980688107_112025-E.webp,https://www.mercadolivre.com.br/notebook-lenovo-ideapad-slim-3-amd-ryzen-7-16gb-512gb-w11-luna-grey/p/MLB58703437#polycard_client=search_best-seller&tracking_id=58005052-cf6a-438b-868f-4c5f216e8558&wid=MLB4234031313&sid=search,2026-01-13
