produto,vendedor,classificacao,qtd_vendas,avaliacao,preco_original,preco_final,imagem,link
Mouse Sem Fio Recarregável Wireless Optico Led Rgb Ergonômico Sem Fio Para Pc Desktop Notebook Tablet Smartphone Davely Preto,Não Informado,1,100,4.8,29.0,23.0,https://http2.mlstatic.com/D_Q_NP_2X_629898-MLA95373568293_102025-E.webp,https://www.mercadolivre.com.br/mouse-sem-fio-recarregavel-wireless-optico-led-rgb-ergonmico-sem-fio-para-pc-desktop-notebook-tablet-smartphone-davely-preto/p/MLB48929373#polycard_client=search_best-seller&tracking_id=75eea5cf-d9bb-42f0-8ad2-ba9a48ddd799&wid=MLB4057383363&sid=search
Controle Sem Fio Gamesir T4 Nova Lite Hall Effect Multiplataforma Bluetooth Dongle Usb-c Azul Escuro,Não Informado,2,500,4.9,,189.0,https://http2.mlstatic.com/D_Q_NP_2X_772799-MLA99479773724_112025-E.webp,https://www.mercadolivre.com.br/controle-sem-fio-gamesir-t4-nova-lite-hall-effect-multiplataforma-bluetooth-dongle-usb-c-azul-escuro/p/MLB46452246#polycard_client=search_best-seller&tracking_id=75eea5cf-d9bb-42f0-8ad2-ba9a48ddd799&wid=MLB4318564821&sid=search
Sony Playstation Store Gift Card R$ 100 (digital),Não Informado,3,50,5.0,,100.0,https://http2.mlstatic.com/D_Q_NP_2X_742211-MLA95816447081_102025-E.webp,https://www.mercadolivre.com.br/sony-playstation-store-gift-card-r-100-digital/p/MLB50200776#polycard_client=search_best-seller&tracking_id=75eea5cf-d9bb-42f0-8ad2-ba9a48ddd799&wid=MLB5408362076&sid=search
Filamento Pla Vsilk Azul Titanium 1kg High Speed Impressão 3d,Não Informado,4,1000,4.8,149.0,129.0,https://http2.mlstatic.com/D_Q_NP_2X_879558-MLA97239872467_112025-E.webp,https://www.mercadolivre.com.br/filamento-pla-vsilk-azul-titanium-1kg-high-speed-impresso-3d/p/MLB25853445#polycard_client=search_best-seller&tracking_id=75eea5cf-d9bb-42f0-8ad2-ba9a48ddd799&wid=MLB4126247300&sid=search
Papel Foto Glossy Adesivo 180g A4 1000 Folhas Atacado Cor Branco,JOJO,5,100,4.8,,788.0,https://http2.mlstatic.com/D_Q_NP_2X_814136-MLA99500562764_112025-E.webp,https://www.mercadolivre.com.br/papel-foto-glossy-adesivo-180g-a4-1000-folhas-atacado-cor-branco/p/MLB50842240#polycard_client=search_best-seller&tracking_id=75eea5cf-d9bb-42f0-8ad2-ba9a48ddd799&wid=MLB4084038491&sid=search
Amazon Echo Pop Com Assistente Virtual Alexa Cor Roxa C2h4r9,Não Informado,6,1000,4.9,,369.0,https://http2.mlstatic.com/D_Q_NP_2X_817902-MLA97665472590_112025-E.webp,https://www.mercadolivre.com.br/amazon-echo-pop-com-assistente-virtual-alexa-cor-roxa-c2h4r9/p/MLB44235828#polycard_client=search_best-seller&tracking_id=75eea5cf-d9bb-42f0-8ad2-ba9a48ddd799&wid=MLB5800254638&sid=search
Mousepad Grande Caramelo 70x30 Deskpad Couro Antiderrapante Mesa Computador Notebook Eddias,Não Informado,7,5,4.8,79.0,39.0,https://http2.mlstatic.com/D_Q_NP_2X_759880-MLA100072974523_122025-E.webp,https://www.mercadolivre.com.br/mousepad-grande-caramelo-70x30-deskpad-couro-antiderrapante-mesa-computador-notebook-eddias/p/MLB20344205#polycard_client=search_best-seller&tracking_id=75eea5cf-d9bb-42f0-8ad2-ba9a48ddd799&wid=MLB3050625204&sid=search
Papel Fotográfico 120g A4 500 Folhas Brilhante Masterprint Cor Branco,MASTERPRINT,8,50,4.9,,178.0,https://http2.mlstatic.com/D_Q_NP_2X_672287-MLU77230452542_072024-E.webp,https://www.mercadolivre.com.br/papel-fotografico-120g-a4-500-folhas-brilhante-masterprint-cor-branco/p/MLB38000812#polycard_client=search_best-seller&tracking_id=75eea5cf-d9bb-42f0-8ad2-ba9a48ddd799&wid=MLB5713234072&sid=search
